date,title,content,source,url,author,sentiment_polarity,relevance_score,sentiment_label
2023-01-05,META Stock Update,META shares fell 8% following earnings. Investors reacted positively about the company's current performance.,Bloomberg,https://finance.yahoo.com/news/meta-249011,John Smith,0.2076,0.7207,Somewhat-Bullish
2023-01-16,META Stock Changes,META shares rose 5% following announcements. Investors reacted positively about the company's strategic direction.,CNBC,https://finance.yahoo.com/news/meta-248672,Alex Chen,0.5436,0.35,Bullish
2023-04-02,META Announces Changes,Meta Platforms announced strategic changes aimed at boosting growth. The company expects this to drive revenue.,Financial Times,https://finance.yahoo.com/news/meta-759070,John Smith,-0.5977,0.4276,Bearish
2023-04-17,META Q2 Changes,Meta Platforms announced organizational updates aimed at enhancing user experience. The company expects this to drive revenue.,MarketWatch,https://finance.yahoo.com/news/meta-712479,"Sarah Johnson, Mike Davis",-0.4382,0.1234,Bearish
2023-04-23,META Q2 Results,Meta Platforms announced strategic changes aimed at boosting growth. The company expects this to increase adoption.,Wall Street Journal,https://finance.yahoo.com/news/meta-506388,John Smith,-0.2232,0.5715,Somewhat-Bearish
2023-04-27,META Announces Results,Meta Platforms announced strategic changes aimed at boosting growth. The company expects this to strengthen position.,MarketWatch,https://finance.yahoo.com/news/meta-693560,Maria Garcia,0.1651,0.2425,Somewhat-Bullish
2023-05-02,META Announces Changes,Meta Platforms announced organizational updates aimed at enhancing user experience. The company expects this to increase adoption.,Financial Times,https://finance.yahoo.com/news/meta-912161,Lisa Anderson,0.167,0.799,Somewhat-Bullish
2023-05-07,META Q3 Update,Meta Platforms announced strategic changes aimed at improving engagement. The company expects this to drive revenue.,Wall Street Journal,https://finance.yahoo.com/news/meta-232667,David Brown,0.2958,0.5633,Somewhat-Bullish
2023-06-03,META Stock Results,META shares rose 6% following announcements. Investors reacted positively about the company's current performance.,CNBC,https://finance.yahoo.com/news/meta-990890,"Sarah Johnson, Mike Davis",-0.7235,0.6097,Bearish
2023-06-09,META Q2 Changes,Meta Platforms announced strategic changes aimed at boosting growth. The company expects this to strengthen position.,CNBC,https://finance.yahoo.com/news/meta-960632,Alex Chen,-0.6374,0.1771,Bearish
2023-09-08,META Announces Changes,Meta Platforms announced strategic changes aimed at boosting growth. The company expects this to drive revenue.,Yahoo Finance,https://finance.yahoo.com/news/meta-235696,Emma Wilson,-0.6756,0.4614,Bearish
2023-10-24,META Stock Earnings,Meta Platforms reported weak Q3 results with revenue up 25%. The company's metaverse segment showed growth.,Business Insider,https://finance.yahoo.com/news/meta-418113,David Brown,-0.1718,0.2541,Somewhat-Bearish
2023-10-25,META Stock Results,META shares rose 8% following news. Investors expressed concerns about the company's current performance.,Yahoo Finance,https://finance.yahoo.com/news/meta-796354,David Brown,-0.3104,0.7006,Somewhat-Bearish
2023-11-07,META Q2 Update,Meta Platforms announced strategic changes aimed at improving engagement. The company expects this to increase adoption.,Reuters,https://finance.yahoo.com/news/meta-153218,John Smith,0.3901,0.1726,Bullish
2023-11-23,META Q2 Changes,Meta Platforms announced strategic changes aimed at enhancing user experience. The company expects this to strengthen position.,Bloomberg,https://finance.yahoo.com/news/meta-425667,"Sarah Johnson, Mike Davis",-0.486,0.318,Bearish
2023-11-26,META Q1 Update,Meta Platforms announced organizational updates aimed at enhancing user experience. The company expects this to drive revenue.,MarketWatch,https://finance.yahoo.com/news/meta-184733,John Smith,-0.2168,0.2575,Somewhat-Bearish
2023-12-31,META Announces Changes,Meta Platforms announced new features aimed at enhancing user experience. The company expects this to strengthen position.,Yahoo Finance,https://finance.yahoo.com/news/meta-893985,Maria Garcia,-0.0703,0.7959,Neutral
2024-01-10,META Announces Results,Meta Platforms announced strategic changes aimed at enhancing user experience. The company expects this to increase adoption.,Business Insider,https://finance.yahoo.com/news/meta-569224,John Smith,-0.5645,0.7788,Bearish
2024-01-17,META Q2 Earnings,Meta Platforms reported weak Q1 results with revenue down 21%. The company's advertising segment showed decline.,CNBC,https://finance.yahoo.com/news/meta-619290,Lisa Anderson,0.6048,0.1294,Bullish
2024-01-31,META Q2 Update,Meta Platforms announced organizational updates aimed at boosting growth. The company expects this to increase adoption.,CNBC,https://finance.yahoo.com/news/meta-927903,Maria Garcia,-0.6556,0.2759,Bearish
2024-02-07,META Stock Earnings,Meta Platforms reported weak Q3 results with revenue up 18%. The company's metaverse segment showed decline.,Wall Street Journal,https://finance.yahoo.com/news/meta-884365,Alex Chen,-0.0305,0.2571,Neutral
2024-03-08,META Stock Changes,META shares fell 2% following news. Investors expressed concerns about the company's future prospects.,CNBC,https://finance.yahoo.com/news/meta-284131,Alex Chen,0.3014,0.4956,Somewhat-Bullish
2024-03-15,META Q4 Update,Meta Platforms announced new features aimed at enhancing user experience. The company expects this to strengthen position.,Yahoo Finance,https://finance.yahoo.com/news/meta-584304,"Sarah Johnson, Mike Davis",-0.0303,0.6095,Neutral
2024-03-18,META Stock Results,META shares rose 2% following announcements. Investors reacted positively about the company's future prospects.,MarketWatch,https://finance.yahoo.com/news/meta-422970,Lisa Anderson,0.7229,0.8904,Bullish
2024-05-03,META Stock Earnings,Meta Platforms reported weak Q2 results with revenue up 23%. The company's metaverse segment showed stability.,Financial Times,https://finance.yahoo.com/news/meta-452411,David Brown,-0.5342,0.3278,Bearish
